,articleID,section
0,0,europe
1,1,commercial
2,2,asia
3,3,asia
4,4,civil
5,5,civil
6,6,launch-section
7,6, militaryspace
8,7,launch-section
9,7, militaryspace
10,8,civil
11,9,asia
12,10,civil
13,11,commercial
14,12,civil
15,13,europe
16,14,asia
17,15,europe
18,16,commercial
19,16, space-tech-expo
20,17,civil
21,17, commercial
22,17, space-tech-expo
23,18,commercial
24,18, launch-section
25,18, space-tech-expo
26,19,civil
27,19, commercial
28,19, space-tech-expo
29,20,civil
30,20, commercial
31,21,commercial
32,22,commercial
33,22, launch-section
34,22, space-tech-expo
35,23,commercial
36,23, intelligence
37,23, militaryspace
38,24,commercial
39,24, policy-politics
40,24, space-tech-expo
41,25,commercial
42,25, launch-section
43,26,commercial
44,26, space-tech-expo
45,27,commercial
46,27, space-tech-expo
47,28,commercial
48,28, militaryspace
49,28, space-tech-expo
50,29,commercial
51,30,militaryspace
52,31,commercial
53,32,commercial
54,33,commercial
55,33, militaryspace
56,34,asia
57,35,civil
58,36,europe
59,37,civil
60,37, commercial
61,38,civil
62,38, commercial
63,39,commercial
64,39, militaryspace
65,40,asia
66,41,policy-politics
67,42,commercial
68,42, intelligence
69,42, militaryspace
70,43,commercial
71,43, launch-section
72,44,civil
73,45,civil
74,45, commercial
75,46,commercial
76,47,asia
77,48,commercial
78,48, launch-section
79,49,commercial
80,50,commercial
81,51,civil
82,52,from-the-magazine
83,53,militaryspace
84,54,commercial
85,54, launch-section
86,55,civil
87,56,commercial
88,56, militaryspace
89,57,civil
90,58,civil
91,58, commercial
92,58, militaryspace
93,59,from-the-magazine
94,60,civil
95,61,commercial
96,61, militaryspace
97,62,commercial
98,62, militaryspace
99,63,commercial
100,64,commercial
101,64, militaryspace
102,65,from-the-magazine
103,66,asia
104,67,commercial
105,67, launch-section
106,68,commercial
107,68, launch-section
108,69,commercial
109,70,asia
110,71,civil
111,71, militaryspace
112,72,asia
113,73,commercial
114,74,commercial
115,75,militaryspace
116,76,commercial
117,77,europe
118,78,asia
119,79,civil
120,79, policy-politics
121,80,from-the-magazine
122,81,commercial
123,82,launch-section
124,82, militaryspace
125,83,commercial
126,84,militaryspace
127,85,commercial
128,86,from-the-magazine
129,87,commercial
130,88,commercial
131,88, militaryspace
132,89,commercial
133,90,commercial
134,90, launch-section
135,91,policy-politics
136,92,from-the-magazine
137,93,civil
138,93, commercial
139,94,militaryspace
140,95,commercial
141,95, geoint
142,95, militaryspace
143,96,militaryspace
144,97,commercial
145,98,civil
146,98, policy-politics
147,99,commercial
148,99, launch-section
149,99, militaryspace
150,100,commercial
151,100, launch-section
152,101,asia
153,102,civil
154,102, policy-politics
155,103,civil
156,104,commercial
157,105,asia
158,106,commercial
159,106, militaryspace
160,107,commercial
161,108,civil
162,109,policy-politics
163,110,commercial
164,110, launch-section
165,111,asia
166,112,commercial
167,113,commercial
168,114,commercial
169,114, intelligence
170,114, militaryspace
171,115,commercial
172,116,civil
173,117,civil
174,117, commercial
175,118,commercial
176,118, launch-section
177,119,
178,120,civil
179,121,commercial
180,121, launch-section
181,122,commercial
182,122, intelligence
183,122, militaryspace
184,123,asia
185,124,policy-politics
186,125,militaryspace
187,126,commercial
188,126, launch-section
189,127,militaryspace
190,128,commercial
191,129,policy-politics
192,130,asia
193,131,militaryspace
194,131, policy-politics
195,132,civil
196,133,commercial
197,134,asia
198,135,civil
199,135, launch-section
200,136,commercial
201,136, launch-section
202,137,militaryspace
203,138,commercial
204,139,militaryspace
205,140,commercial
206,141,policy-politics
207,142,commercial
208,142, launch-section
209,143,militaryspace
210,144,civil
211,144, commercial
212,145,commercial
213,146,commercial
214,147,asia
215,148,asia
216,149,geoint
217,150,civil
218,151,launch-section
219,151, militaryspace
220,152,commercial
221,152, launch-section
222,152, militaryspace
223,153,asia
224,154,commercial
225,154, launch-section
226,155,civil
227,155, commercial
228,156,commercial
229,156, policy-politics
230,157,civil
231,158,commercial
232,158, geoint
233,158, militaryspace
234,159,geoint
235,159, intelligence
236,159, militaryspace
237,160,asia
238,161,launch-section
239,162,geoint
240,162, intelligence
241,163,commercial
242,163, geoint
243,164,commercial
244,165,civil
245,166,commercial
246,166, geoint
247,167,commercial
248,167, geoint
249,168,commercial
250,168, geoint
251,169,commercial
252,169, militaryspace
253,170,asia
254,171,commercial
255,171, geoint
256,171, intelligence
257,172,civil
258,173,geoint
259,173, intelligence
260,174,commercial
261,174, geoint
262,174, intelligence
263,174, militaryspace
264,175,commercial
265,176,commercial
266,177,commercial
267,177, geoint
268,177, intelligence
269,178,commercial
270,178, geoint
